index,dna_biosample,sequence_data_type,ampliconlibrary_quantification_ng.ul,plate_ID,well_location,sample_or_blank,sample_spiked_blank,spiked_volume,swab_presence,MK_spike,Sequencer,sample_name.y,animal_biosample,DNA_data_type,sample_type,dna_experiment_date,dna_extraction_success,Basidiobolus_present,Ct_value,copy_number,DNA.QC.ng.ul.fluorometer,DNA.QC.A260.280,qualitative_visualization.1_5.scale,culture_biosample,sample_name,becky_hardman_id,bh_id_prefix,zoo_nashville_id,pit,tank_number,hatch_date,sex,weight,total_length,terbinafine,river.water,diet_crayfish,last_crayfish_feeding,dataset,env_broad_scale,env_medium,storage_medium,host_pooped,host_taxon,host_genus,host_species,svl,animal_type,animal_ecomode,collection_date,state,county,ecoregion_III,ecoregion_IV,site,gps_n,gps_w,walker_wash_swab_protocol,data_type,collector,notes_host,notes_lab
UHM747_34487,21856,16S_amplicon,50,UHM_Hellbender_P1_CEC,G7,sample,sample,1,1,1,NA,UHM747,11932,DNA,cloacal swab,12/12/2023,NA,NA,NA,NA,NA,NA,NA,11932,UHM747,18ZB-37,18ZB,7337,3D6153439 4E4C,NA,10/5/2018,M,199.5,32,0,NA,0,,uhm,zoo,cloaca swab,dry,N,Cryptobranchus alleganiensis,Cryptobranchus,alleganiensis,NA,salamander,Aquatic,11/7/2023,TN,davidson,Interior Plateau,NA,Nashville Zoo,36.09,-86.74,0,metadata,Sherri Doro,,
UHM747_34542,34053,16S_amplicon,53,UHM_Hellbender_P2_CEC,F2,sample,sample,1,1,1,NA,UHM747,22892,DNA,cloacal swab,6/5/2024,NA,NA,NA,NA,NA,NA,NA,22892,UHM747,18ZB-37,18ZB,7337,3D6153439 4E4C,NA,10/5/2018,M,213.5,32,NA,NA,1,11/21/2023,uhm,zoo,cloaca swab,dry,N,Cryptobranchus alleganiensis,Cryptobranchus,alleganiensis,NA,salamander,Aquatic,1/23/2024,TN,davidson,Interior Plateau,NA,Nashville Zoo,36.09,-86.74,0,metadata,Sherri Doro,,
UHM748_34434,20916,16S_amplicon,43,UHM_Hellbender_P1_CEC,B1,sample,sample,1,1,1,NA,UHM748,11933,DNA,cloacal swab,11/27/2023,NA,NA,NA,NA,NA,NA,NA,11933,UHM748,18ZB-42,18ZB,7342,3D6153439 4D38,NA,10/5/2018,M,106.8,25.3,NA,NA,0,,uhm,zoo,cloaca swab,dry,N,Cryptobranchus alleganiensis,Cryptobranchus,alleganiensis,NA,salamander,Aquatic,2/22/2023,TN,davidson,Interior Plateau,NA,Nashville Zoo,36.09,-86.74,0,metadata,Sherri Doro,,
UHM748_34453,21461,16S_amplicon,43,UHM_Hellbender_P1_CEC,E3,sample,sample,1,1,1,NA,UHM748,11934,DNA,cloacal swab,12/1/2023,NA,NA,NA,NA,NA,NA,NA,11934,UHM748,18ZB-42,18ZB,7342,3D6153439 4D38,NA,10/5/2018,M,121.3,27.5,0,NA,0,,uhm,zoo,cloaca swab,dry,N,Cryptobranchus alleganiensis,Cryptobranchus,alleganiensis,NA,salamander,Aquatic,5/1/2023,TN,davidson,Interior Plateau,NA,Nashville Zoo,36.09,-86.74,0,metadata,Sherri Doro,,
UHM748_34473,21509,16S_amplicon,49,UHM_Hellbender_P1_CEC,A6,sample,sample,1,1,1,NA,UHM748,11935,DNA,cloacal swab,12/8/2023,NA,NA,NA,NA,NA,NA,NA,11935,UHM748,18ZB-42,18ZB,7342,3D6153439 4D38,NA,10/5/2018,M,158.7,31,0,NA,1,8/16/2023,uhm,zoo,cloaca swab,dry,N,Cryptobranchus alleganiensis,Cryptobranchus,alleganiensis,NA,salamander,Aquatic,11/7/2023,TN,davidson,Interior Plateau,NA,Nashville Zoo,36.09,-86.74,0,metadata,Sherri Doro,,
UHM748_34530,34041,16S_amplicon,36,UHM_Hellbender_P2_CEC,B1,sample,sample,1,1,1,NA,UHM748,22895,DNA,cloacal swab,6/5/2024,NA,NA,NA,NA,NA,NA,NA,22895,UHM748,18ZB-42,18ZB,7342,3D6153439 4D38,NA,10/5/2018,M,195.1,32,NA,NA,1,11/21/2023,uhm,zoo,cloaca swab,dry,N,Cryptobranchus alleganiensis,Cryptobranchus,alleganiensis,NA,salamander,Aquatic,1/23/2024,TN,davidson,Interior Plateau,NA,Nashville Zoo,36.09,-86.74,0,metadata,Sherri Doro,,
UHM749_34445,21453,16S_amplicon,52,UHM_Hellbender_P1_CEC,E2,sample,sample,1,1,1,NA,UHM749,11936,DNA,cloacal swab,12/1/2023,NA,NA,NA,NA,NA,NA,NA,11936,UHM749,18ZB-43,18ZB,7343,3D6153439 6CB0,NA,10/5/2018,M,126.7,25.8,NA,NA,0,,uhm,zoo,cloaca swab,dry,N,Cryptobranchus alleganiensis,Cryptobranchus,alleganiensis,NA,salamander,Aquatic,2/22/2023,TN,davidson,Interior Plateau,NA,Nashville Zoo,36.09,-86.74,0,metadata,Sherri Doro,,
UHM749_34489,21858,16S_amplicon,34,UHM_Hellbender_P1_CEC,A8,sample,sample,1,1,1,NA,UHM749,11938,DNA,cloacal swab,12/12/2023,NA,NA,NA,NA,NA,NA,NA,11938,UHM749,18ZB-43,18ZB,7343,3D6153439 6CB0,NA,10/5/2018,M,222.9,31,0,NA,0,,uhm,zoo,cloaca swab,dry,N,Cryptobranchus alleganiensis,Cryptobranchus,alleganiensis,NA,salamander,Aquatic,11/7/2023,TN,davidson,Interior Plateau,NA,Nashville Zoo,36.09,-86.74,0,metadata,Sherri Doro,,
UHM749_34544,34056,16S_amplicon,51,UHM_Hellbender_P2_CEC,H2,sample,sample,1,1,1,NA,UHM749,11937,DNA,cloacal swab,6/6/2024,NA,NA,NA,NA,NA,NA,NA,11937,UHM749,18ZB-43,18ZB,7343,3D6153439 6CB0,NA,10/5/2018,M,134.1,27,0,NA,0,,uhm,zoo,cloaca swab,dry,N,Cryptobranchus alleganiensis,Cryptobranchus,alleganiensis,NA,salamander,Aquatic,5/1/2023,TN,davidson,Interior Plateau,NA,Nashville Zoo,36.09,-86.74,0,metadata,Sherri Doro,,
UHM750_35805,35786,16S_amplicon,34,UHM_Hellbender_Partial_P3_CEC,A2,sample,sample,1,1,1,NA,UHM750,11941,DNA,cloacal swab,8/6/2024,NA,NA,NA,NA,NA,NA,NA,11941,UHM750,18ZB-41,18ZB,7341,3D6153439 4CBD,NA,10/5/2018,M,155,31.5,1,NA,NA,,uhm,wild,cloaca swab,dry,N,Cryptobranchus alleganiensis,Cryptobranchus,alleganiensis,NA,salamander,Aquatic,7/31/2024,TN,lewis,Interior Plateau,NA,Shady Bluff,35.56,-87.4,0,metadata,Chloe Cummins,,
